,player,team,opp,fantasy_points_x,variance,Salary,ratio
62,Chris_Hogan,BUF,PHI,12.0349934894,1.77552589093,4800,0.00250729031029
63,Andre_Holmes,OAK,DEN,2.85002452673,2.89258986274,4900,0.000581637658516
64,DeAndre_Hopkins,HOU,NE,18.6092610677,4.03278261351,8700,0.00213899552502
65,Josh_Huff,PHI,BUF,7.38603220711,2.44076957148,4800,0.00153875670981
66,Adam_Humphries,TB,NO,4.52175451291,1.50859518201,4800,0.00094203219019
67,Allen_Hurns,JAC,IND,22.251554547,3.06472465451,6600,0.00337144765864
68,Dontrelle_Inman,SD,KC,8.31325110137,1.21762699301,5200,0.00159870213488
69,DeSean_Jackson,WAS,CHI,11.1971881767,4.72202480363,6700,0.00167122211593
70,Vincent_Jackson,TB,NO,11.7995115056,2.92087221716,6800,0.00173522228024
71,Jeff_Janis,GB,DAL,4.61253799424e-11,2.92492250563e-10,4800,9.60945415467e-15
72,Alshon_Jeffery,CHI,WAS,12.5149200577,6.47970132029,7500,0.00166865600769
73,Greg_Jennings,MIA,NYG,4.96465133563,1.35472516416,4700,0.00105630879481
74,Andre_Johnson,IND,JAC,8.7598750792,5.25324370911,5200,0.00168459136138
75,Calvin_Johnson,DET,STL,11.5471404699,3.44543763743,7900,0.00146166335062
76,Steve_Johnson,SD,KC,12.8234454593,2.03232385525,5800,0.00221093887229
77,James_Jones,GB,DAL,9.73103379698,5.5968940489,5300,0.00183604411264
78,Julio_Jones,ATL,CAR,14.0733558463,6.46999430594,8800,0.00159924498253
79,Marvin_Jones,CIN,PIT,8.15220686204,4.15445960517,6200,0.00131487207452
80,Jermaine_Kearse,SEA,BAL,10.8786312695,4.19303335708,5500,0.00197793295809
81,Jeremy_Kerley,NYJ,TEN,3.08521771387,1.97260774725,4500,0.000685603936416
82,Brandon_LaFell,NE,HOU,5.9802885027,1.8151281452,6400,0.000934420078547
83,Jarvis_Landry,MIA,NYG,18.5493774281,4.38542303876,7100,0.00261258837015
84,Cody_Latimer,DEN,OAK,3.32273545171,1.35457069452,4800,0.00069223655244
85,Marqise_Lee,JAC,IND,2.33240280659,0.556013558822,4600,0.000507044088389
86,Tyler_Lockett,SEA,BAL,5.76041473253,3.71059246226,5600,0.00102864548795
87,Jeremy_Maclin,KC,SD,7.73950400194,2.33189319087,6900,0.00112166724666
88,Marc_Mariani,CHI,WAS,3.30534163033,0.954642789593,4700,0.000703264176666
89,Bradley_Marquez,STL,DET,2.34697624523,0.936061455065,4500,0.000521550276718
90,Brandon_Marshall,NYJ,TEN,19.4013800195,2.92075026946,8200,0.0023660219536
91,Keshawn_Martin,NE,HOU,4.6525635189,1.77497611003,5100,0.000912267356647
92,Jordan_Matthews,PHI,BUF,12.6302164236,4.34418852161,6100,0.00207052728256
93,Rishard_Matthews,MIA,NYG,9.36206715677,4.40140003552,5400,0.00173371614014
94,Donte_Moncrief,IND,JAC,13.5948035227,2.47183007028,6100,0.0022286563152
95,Ty_Montgomery,GB,DAL,6.70812317323,3.24418747607,4800,0.00139752566109
96,Lance_Moore,DET,STL,3.45734905999,3.10131038451,4900,0.000705581440814
97,Marlon_Moore,CLE,SF,1.70738558181,0.854034660041,4500,0.00037941901818
98,Keith_Mumphery,HOU,NE,4.17240402867,0.876363990627,4500,0.00092720089526
99,Hakeem_Nicks,NYG,MIA,0.834915975167,0.301928669117,4500,0.00018553688337
100,Jordan_Norwood,DEN,OAK,2.71359434138,0.545214174303,4500,0.000603020964751
101,DeVante_Parker,MIA,NYG,9.36588004507,4.18959747235,5900,0.00158743729577
102,Quinton_Patton,SF,CLE,5.3201622263,1.55659563223,4500,0.00118225827251
103,Brian_Quick,STL,DET,1.93456769508,0.660245751166,4500,0.00042990393224
104,Rueben_Randle,NYG,MIA,13.0300500237,2.717892503,5600,0.00232679464709
105,Rico_Richardson,TEN,NYJ,7.32794103976e-11,5.01049514942e-10,4500,1.62843134217e-14
106,Andre_Roberts,WAS,CHI,3.44447242239,1.67916092727,4700,0.000732866472849
107,Seth_Roberts,OAK,DEN,9.74792910906,6.25079328262,5400,0.00180517205723
108,Allen_Robinson,JAC,IND,14.3665223254,2.77082799487,8500,0.00169017909711
109,Rashad_Ross,WAS,CHI,2.37821206763,1.04556836741,4800,0.000495460847423
110,Eddie_Royal,CHI,WAS,6.62483409083,3.69384034164,4700,0.00140953916826
111,Emmanuel_Sanders,DEN,OAK,18.378084052,2.32859389592,7100,0.00258846254254
112,Mohamed_Sanu,CIN,PIT,4.70956555226,1.89437228242,5000,0.000941913110452
113,Russell_Shepard,TB,NO,3.00868769445,1.22567367935,4500,0.000668597265433
